File_name,Lang
0000.wav,JP
0001.wav,FR
0002.wav,FR
0003.wav,AR
0004.wav,FR
0005.wav,AR
0006.wav,AR
0007.wav,JP
0008.wav,EN
0009.wav,JP
0010.wav,EN
0011.wav,AR
0012.wav,EN
0013.wav,JP
0014.wav,FR
0015.wav,JP
0016.wav,JP
0017.wav,FR
0018.wav,AR
0019.wav,AR
0020.wav,FR
0021.wav,JP
0022.wav,JP
0023.wav,EN
0024.wav,JP
0025.wav,JP
0026.wav,EN
0027.wav,EN
0028.wav,AR
0029.wav,FR
0030.wav,EN
0031.wav,AR
0032.wav,EN
0033.wav,FR
0034.wav,AR
0035.wav,EN
0036.wav,AR
0037.wav,JP
0038.wav,JP
0039.wav,FR
0040.wav,FR
0041.wav,AR
0042.wav,EN
0043.wav,AR
0044.wav,JP
0045.wav,JP
0046.wav,JP
0047.wav,JP
0048.wav,FR
0049.wav,JP
0050.wav,FR
0051.wav,FR
0052.wav,AR
0053.wav,FR
0054.wav,AR
0055.wav,EN
0056.wav,AR
0057.wav,EN
0058.wav,AR
0059.wav,EN
0060.wav,EN
0061.wav,FR
0062.wav,JP
0063.wav,JP
0064.wav,FR
0065.wav,FR
0066.wav,EN
0067.wav,EN
0068.wav,JP
0069.wav,JP
0070.wav,AR
0071.wav,AR
0072.wav,EN
0073.wav,JP
0074.wav,FR
0075.wav,EN
0076.wav,AR
0077.wav,FR
0078.wav,JP
0079.wav,EN
0080.wav,JP
0081.wav,AR
0082.wav,AR
0083.wav,JP
0084.wav,FR
0085.wav,AR
0086.wav,AR
0087.wav,EN
0088.wav,FR
0089.wav,AR
0090.wav,JP
0091.wav,AR
0092.wav,AR
0093.wav,JP
0094.wav,JP
0095.wav,FR
0096.wav,JP
0097.wav,FR
0098.wav,JP
0099.wav,FR
0100.wav,EN
0101.wav,JP
0102.wav,EN
0103.wav,EN
0104.wav,JP
0105.wav,EN
0106.wav,JP
0107.wav,FR
0108.wav,FR
0109.wav,JP
0110.wav,JP
